Feature,Data Type,Missing Values,Missing (%)
id,str,0,0.0
member_id,float64,1345310,100.0
loan_amnt,float64,0,0.0
funded_amnt,float64,0,0.0
funded_amnt_inv,float64,0,0.0
term,str,0,0.0
int_rate,float64,0,0.0
installment,float64,0,0.0
grade,str,0,0.0
sub_grade,str,0,0.0
emp_title,str,85785,6.376597215511666
emp_length,str,78511,5.8359039923883715
home_ownership,str,0,0.0
annual_inc,float64,0,0.0
verification_status,str,0,0.0
issue_d,str,0,0.0
loan_status,str,0,0.0
pymnt_plan,str,0,0.0
url,str,0,0.0
desc,str,1221780,90.8177297425872
purpose,str,0,0.0
title,str,16660,1.2383762850198095
zip_code,str,1,7.433231002519866e-05
addr_state,str,0,0.0
dti,float64,374,0.027800283949424295
delinq_2yrs,float64,0,0.0
earliest_cr_line,str,0,0.0
fico_range_low,float64,0,0.0
fico_range_high,float64,0,0.0
inq_last_6mths,float64,1,7.433231002519866e-05
mths_since_last_delinq,float64,678743,50.452535103433405
mths_since_last_record,float64,1116755,83.01097888219073
open_acc,float64,0,0.0
pub_rec,float64,0,0.0
revol_bal,float64,0,0.0
revol_util,float64,857,0.06370278969159525
total_acc,float64,0,0.0
initial_list_status,str,0,0.0
out_prncp,float64,0,0.0
out_prncp_inv,float64,0,0.0
total_pymnt,float64,0,0.0
total_pymnt_inv,float64,0,0.0
total_rec_prncp,float64,0,0.0
total_rec_int,float64,0,0.0
total_rec_late_fee,float64,0,0.0
recoveries,float64,0,0.0
collection_recovery_fee,float64,0,0.0
last_pymnt_d,str,2313,0.1719306330882845
last_pymnt_amnt,float64,0,0.0
next_pymnt_d,str,1345310,100.0
last_credit_pull_d,str,55,0.004088277051385925
last_fico_range_high,float64,0,0.0
last_fico_range_low,float64,0,0.0
collections_12_mths_ex_med,float64,56,0.004162609361411124
mths_since_last_major_derog,float64,991560,73.70494532858598
policy_code,float64,0,0.0
application_type,str,0,0.0
annual_inc_joint,float64,1319510,98.08222640134987
dti_joint,float64,1319513,98.08244939827995
verification_status_joint,str,1319715,98.09746452490504
acc_now_delinq,float64,0,0.0
tot_coll_amt,float64,67527,5.0194378990715895
tot_cur_bal,float64,67527,5.0194378990715895
open_acc_6m,float64,807713,60.039173127383286
open_act_il,float64,807712,60.03909879507325
open_il_12m,float64,807712,60.03909879507325
open_il_24m,float64,807712,60.03909879507325
mths_since_rcnt_il,float64,821928,61.09580691439148
total_bal_il,float64,807712,60.03909879507325
il_util,float64,880294,65.43428652132222
open_rv_12m,float64,807712,60.03909879507325
open_rv_24m,float64,807712,60.03909879507325
max_bal_bc,float64,807712,60.03909879507325
all_util,float64,807765,60.04303840750459
total_rev_hi_lim,float64,67527,5.0194378990715895
inq_fi,float64,807712,60.03909879507325
total_cu_tl,float64,807713,60.039173127383286
inq_last_12m,float64,807713,60.039173127383286
acc_open_past_24mths,float64,47281,3.5145059503014178
avg_cur_bal,float64,67549,5.021073209892144
bc_open_to_buy,float64,61143,4.544900431870722
bc_util,float64,61912,4.602061978280099
chargeoff_within_12_mths,float64,56,0.004162609361411124
delinq_amnt,float64,0,0.0
mo_sin_old_il_acct,float64,105575,7.847633630910347
mo_sin_old_rev_tl_op,float64,67528,5.019512231381615
mo_sin_rcnt_rev_tl_op,float64,67528,5.019512231381615
mo_sin_rcnt_tl,float64,67527,5.0194378990715895
mort_acc,float64,47281,3.5145059503014178
mths_since_recent_bc,float64,60221,4.476366042027488
mths_since_recent_bc_dlq,float64,1026290,76.28650645576113
mths_since_recent_inq,float64,174071,12.939099538396354
mths_since_recent_revol_delinq,float64,895348,66.55328511644156
num_accts_ever_120_pd,float64,67527,5.0194378990715895
num_actv_bc_tl,float64,67527,5.0194378990715895
num_actv_rev_tl,float64,67527,5.0194378990715895
num_bc_sats,float64,55841,4.1507905241171175
num_bc_tl,float64,67527,5.0194378990715895
num_il_tl,float64,67527,5.0194378990715895
num_op_rev_tl,float64,67527,5.0194378990715895
num_rev_accts,float64,67528,5.019512231381615
num_rev_tl_bal_gt_0,float64,67527,5.0194378990715895
num_sats,float64,55841,4.1507905241171175
num_tl_120dpd_2m,float64,117401,8.726687529268347
num_tl_30dpd,float64,67527,5.0194378990715895
num_tl_90g_dpd_24m,float64,67527,5.0194378990715895
num_tl_op_past_12m,float64,67527,5.0194378990715895
pct_tl_nvr_dlq,float64,67681,5.03088507481547
percent_bc_gt_75,float64,61555,4.575525343601103
pub_rec_bankruptcies,float64,697,0.05180962008756346
tax_liens,float64,39,0.0028989600909827473
tot_hi_cred_lim,float64,67527,5.0194378990715895
total_bal_ex_mort,float64,47281,3.5145059503014178
total_bc_limit,float64,47281,3.5145059503014178
