Feature,Missing Count,Missing Percentage
desc,1221780,90.8177297425872
mths_since_last_record,1116755,83.01097888219073
mths_since_recent_bc_dlq,1026290,76.28650645576113
mths_since_last_major_derog,991560,73.70494532858598
mths_since_recent_revol_delinq,895348,66.55328511644156
il_util,880294,65.43428652132222
mths_since_rcnt_il,821928,61.09580691439148
all_util,807765,60.04303840750459
inq_last_12m,807713,60.039173127383286
total_cu_tl,807713,60.039173127383286
open_acc_6m,807713,60.039173127383286
open_il_24m,807712,60.03909879507325
inq_fi,807712,60.03909879507325
open_rv_12m,807712,60.03909879507325
total_bal_il,807712,60.03909879507325
open_rv_24m,807712,60.03909879507325
open_act_il,807712,60.03909879507325
max_bal_bc,807712,60.03909879507325
open_il_12m,807712,60.03909879507325
mths_since_last_delinq,678743,50.452535103433405
mths_since_recent_inq,174071,12.939099538396354
num_tl_120dpd_2m,117401,8.726687529268347
mo_sin_old_il_acct,105575,7.847633630910347
emp_title,85785,6.376597215511666
emp_length,78511,5.8359039923883715
pct_tl_nvr_dlq,67681,5.03088507481547
avg_cur_bal,67549,5.021073209892144
mo_sin_rcnt_rev_tl_op,67528,5.019512231381615
mo_sin_old_rev_tl_op,67528,5.019512231381615
num_rev_accts,67528,5.019512231381615
num_accts_ever_120_pd,67527,5.0194378990715895
num_actv_bc_tl,67527,5.0194378990715895
num_rev_tl_bal_gt_0,67527,5.0194378990715895
num_op_rev_tl,67527,5.0194378990715895
tot_coll_amt,67527,5.0194378990715895
tot_cur_bal,67527,5.0194378990715895
total_rev_hi_lim,67527,5.0194378990715895
total_il_high_credit_limit,67527,5.0194378990715895
tot_hi_cred_lim,67527,5.0194378990715895
num_il_tl,67527,5.0194378990715895
mo_sin_rcnt_tl,67527,5.0194378990715895
num_actv_rev_tl,67527,5.0194378990715895
num_tl_90g_dpd_24m,67527,5.0194378990715895
num_tl_30dpd,67527,5.0194378990715895
num_bc_tl,67527,5.0194378990715895
num_tl_op_past_12m,67527,5.0194378990715895
bc_util,61912,4.602061978280099
percent_bc_gt_75,61555,4.575525343601103
bc_open_to_buy,61143,4.544900431870722
mths_since_recent_bc,60221,4.476366042027488
num_sats,55841,4.1507905241171175
num_bc_sats,55841,4.1507905241171175
total_bal_ex_mort,47281,3.5145059503014178
total_bc_limit,47281,3.5145059503014178
mort_acc,47281,3.5145059503014178
acc_open_past_24mths,47281,3.5145059503014178
title,16660,1.2383762850198095
last_pymnt_d,2313,0.1719306330882845
revol_util,857,0.06370278969159525
pub_rec_bankruptcies,697,0.05180962008756346
dti,374,0.027800283949424295
collections_12_mths_ex_med,56,0.004162609361411124
chargeoff_within_12_mths,56,0.004162609361411124
last_credit_pull_d,55,0.004088277051385925
tax_liens,39,0.0028989600909827473
inq_last_6mths,1,7.433231002519866e-05
zip_code,1,7.433231002519866e-05
collection_recovery_fee,0,0.0
last_fico_range_high,0,0.0
last_pymnt_amnt,0,0.0
recoveries,0,0.0
term,0,0.0
sub_grade,0,0.0
grade,0,0.0
home_ownership,0,0.0
annual_inc,0,0.0
verification_status,0,0.0
issue_d,0,0.0
loan_status,0,0.0
pymnt_plan,0,0.0
funded_amnt,0,0.0
loan_amnt,0,0.0
installment,0,0.0
int_rate,0,0.0
total_rec_late_fee,0,0.0
total_rec_int,0,0.0
total_pymnt_inv,0,0.0
total_rec_prncp,0,0.0
out_prncp,0,0.0
initial_list_status,0,0.0
total_pymnt,0,0.0
out_prncp_inv,0,0.0
total_acc,0,0.0
open_acc,0,0.0
pub_rec,0,0.0
revol_bal,0,0.0
purpose,0,0.0
addr_state,0,0.0
delinq_2yrs,0,0.0
fico_range_low,0,0.0
fico_range_high,0,0.0
earliest_cr_line,0,0.0
funded_amnt_inv,0,0.0
application_type,0,0.0
delinq_amnt,0,0.0
acc_now_delinq,0,0.0
last_fico_range_low,0,0.0
policy_code,0,0.0
hardship_flag,0,0.0
disbursement_method,0,0.0
debt_settlement_flag,0,0.0
target,0,0.0
